sample	group
198214.7	B
198215.6	B
373384.11	B
591020.3	A
754092.3	A
766145.3	B
766146.3	B
766147.3	A
766148.3	A
766149.3	B
766151.3	B
766152.3	B
766157.3	A
766159.3	A
766160.3	A
766161.3	A
